logFC	logCPM	LR	PValue	FDR	hgnc	biotype	RMH3869	RMH3871	RMH3872	RMH3874	RMH3875	RMH3877
ENSMUSG00000044067.4	-2.01259337819374	5.22809571585298	81.3902040380031	1.85274027439039e-19	1.95891654396122e-16	Gpr22	protein_coding	4.24672933246236	10.9270190777602	2.48608154357845	12.7799936491195	3.62412407042806	13.0266306012734
ENSMUSG00000028339.11	2.08161976955445	4.46373017600998	77.8331913961382	1.12120200231217e-18	1.10078010869863e-15	Col15a1	protein_coding	4.33316510784281	1.13976950195216	7.29430967619721	1.26763709236786	6.27189931345626	1.31369431832156
ENSMUSG00000028307.9	-2.4197326072885	2.72335122033159	75.2332126859116	4.18271588915574e-18	3.83276199309638e-15	Aldob	protein_coding	1.27773268679301	4.42142542691332	0.606328008348886	3.93643842674619	0.914991124664969	4.55698405050272
ENSMUSG00000023905.8	1.51060878469286	5.86881121702892	74.7146887874368	5.43899403980192e-18	4.67243581731734e-15	Tnfrsf12a	protein_coding	103.729230032563	32.5826588428521	104.417396490965	26.6470559171169	79.8575933002065	30.0383726867942
ENSMUSG00000027022.6	1.72729661924826	11.2004280904282	72.4099341652334	1.74831647736267e-17	1.41356529302058e-14	Xirp2	protein_coding	285.332844219456	88.5795953723869	345.939187256561	67.0143035095512	332.134471609194	102.099577603055
ENSMUSG00000027524.3	2.85335375192194	2.61301749456117	66.8496770286086	2.930202354652e-16	2.2375350758162e-13	Edn3	protein_coding	3.43230703516209	0.50947592465654	3.00865853213491	0.273326093294273	1.79333743211583	0.237190887534361
ENSMUSG00000026558.8	1.49782985899623	5.47085448438305	65.5496482349367	5.66682349821399e-16	4.09949942015533e-13	Uck2	protein_coding	59.7677800290518	14.8028537749395	55.5116799829026	16.2587251840245	42.6864949977047	18.0786136941975
ENSMUSG00000023092.9	1.46463117777866	6.40630434407246	64.8594993992603	8.04333872370736e-16	5.52778453786788e-13	Fhl1	protein_coding	41.828371149165	10.1358236592272	31.9305505264863	11.9816079877626	33.4136918438075	12.0065382287547
ENSMUSG00000021702.7	2.64969949650384	3.2407237871394	62.7599488614256	2.33499119042605e-15	1.52830732916219e-12	Thbs4	protein_coding	3.72642700941652	0.683168696276513	4.37167381267038	0.646781693676633	7.45343582428711	0.89452982103179
ENSMUSG00000004939.6	2.75546835473661	4.01952081115514	62.6477257502969	2.47190235850844e-15	1.5443771780772e-12	Itgb1bp3	protein_coding	12.7153608499557	1.10347537833002	14.4015857709535	2.05337970906248	21.2797015970816	3.22664456721252
ENSMUSG00000030762.5	2.22751092137869	3.51355130873389	61.5342993757826	4.35097331782976e-15	2.60017948928565e-12	Aqp8	protein_coding	14.2332053892646	2.70992515873522	14.7698155800197	2.7758830086374	8.99950945493011	1.46254404815375
ENSMUSG00000022951.9	1.525293929523	7.68838817391355	61.2576610022413	5.00733394229374e-15	2.86774187653448e-12	Rcan1	protein_coding	137.065527815687	37.0907028923186	154.667947396407	43.5111328876211	100.517822294452	38.8666743651041
ENSMUSG00000056973.6	-1.41882873093048	6.44219486130594	61.1595888203006	5.26308093605255e-15	2.89364189864169e-12	Ces1d	protein_coding	22.4126221063927	47.0608860899483	17.9895331632074	51.3398160486372	23.5519077224767	52.6811320779422
ENSMUSG00000021196.7	1.25231403585254	5.98126114385006	60.253259690682	8.34045950131688e-15	4.40921599406156e-12	Pfkp	protein_coding	10.6592102374498	3.59529602169552	10.2673052635395	3.95348545893982	9.37638779713259	3.62388909780886
ENSMUSG00000029661.9	2.42420319790614	4.99518099808736	59.66361902915	1.12537786854623e-14	5.72900696413627e-12	Col1a2	protein_coding	2.59541345591741	0.639988857029703	5.5251516543767	0.764200346815891	5.90831276168019	0.914564018478463
ENSMUSG00000027750.9	3.73054617185575	5.5960153100641	58.1815311663836	2.39012431290866e-14	1.17329495289034e-11	Postn	protein_coding	5.08270953284325	0.588960948009429	10.9227994434765	0.625178514824861	20.1158213608138	1.23744218397612
ENSMUSG00000026360.3	-1.83127545358755	4.47637151711939	58.0440068040656	2.5631916251697e-14	1.21486444441233e-11	Rgs2	protein_coding	3.47079916186592	8.16252711350915	2.32540095942804	7.23567494063017	2.80043872917771	11.6577576966188
ENSMUSG00000022995.9	1.21691411809156	6.49758253291336	54.6376275403032	1.44933904342595e-13	6.64038838396321e-11	Enah	protein_coding	30.8413105078532	12.1959735023066	35.3480334542684	10.8662816204999	28.2184893594128	12.818527979644
ENSMUSG00000028841.8	1.91587510223471	3.65934342428874	54.3357082816799	1.69002679984242e-13	7.49336076252711e-11	Cnksr1	protein_coding	8.8033984946114	2.27981326213316	8.47334680058253	1.7314521922889	5.50708243195352	1.27466368355615
ENSMUSG00000031502.9	1.41095712738872	8.07332976166525	53.1146675078438	3.14634257789904e-13	1.3514524604132e-10	Col4a1	protein_coding	50.4403052670799	18.6789867577432	71.5922587447869	22.4076733912329	62.5258919701987	20.0641119930235
ENSMUSG00000038508.7	2.64407263371082	2.11444838228035	52.2821692211426	4.80719599398971e-13	1.9508480489854e-10	Gdf15	protein_coding	3.76860401945379	0.792153778147694	5.7715386999873	0.428549714692042	2.92655187043399	0.639744671898382
ENSMUSG00000007682.5	4.06707073471835	1.59459243933343	52.2746370171277	4.82566996475108e-13	1.9508480489854e-10	Dio2	protein_coding	0.441059588974224	0.0720157502173261	1.0079729254838	0.0454533598615032	1.50026422918737	0.0359223753633608
ENSMUSG00000068196.4	3.11590160170789	3.88449875430866	51.4795508762945	7.23467578193177e-13	2.84116053207578e-10	Col8a1	protein_coding	2.62061951622122	0.409956430753215	5.39212978218888	0.426933417276716	8.17227473190963	0.845231533481085
ENSMUSG00000008393.8	1.66878116748891	3.77648668387761	51.2505690054685	8.12971671212577e-13	3.10397100578246e-10	Carhsp1	protein_coding	6.19353470712245	1.76513261657454	9.13775735886356	2.36741707942266	7.79292301546364	2.22563421376925
ENSMUSG00000031375.10	2.45379773922937	4.86532717983879	50.7331979597658	1.05814540463516e-12	3.93086718559736e-10	Bgn	protein_coding	8.71660524537583	1.80448463888194	15.3434860455442	1.8754975316138	19.6131280895564	3.46342814143782
ENSMUSG00000066705.6	1.35020701350253	3.62861343180987	49.7289200746223	1.76524633548507e-12	6.38508181085325e-10	Fxyd6	protein_coding	10.6462134280781	3.48149501604473	10.8003239176448	3.740476288513	10.0319706892793	3.55127837250338
ENSMUSG00000024011.9	2.26994456455429	3.06473782848128	49.5533614908335	1.93048805561259e-12	6.80373290369105e-10	Pi16	protein_coding	2.15165004435747	0.63040450591948	4.12971838308428	0.679720590030316	4.52857511794497	0.663846939742791
ENSMUSG00000079049.2	4.69282099372148	-0.241759950802474	49.1217185254395	2.40561868301385e-12	8.26572288654271e-10	Serpinb1c	protein_coding	1.07108912721782	0.0518181679684103	1.37107009515445	0.0490582232829114	0.837542472825725	0
ENSMUSG00000018339.5	1.23103238248392	5.29216466504901	49.0734218573185	2.46558485520736e-12	8.26572288654271e-10	Gpx3	protein_coding	35.6119672106513	12.1652187358396	35.0538835435856	12.3216545944492	26.4250988168651	11.8281084225918
ENSMUSG00000025271.7	-2.13926711514048	2.9482813685166	47.8544745944417	4.59058185589014e-12	1.50232256212405e-09	Pfkfb1	protein_coding	1.14190567531551	2.47726615311111	0.541873430172729	3.41888451413991	0.582746326848861	2.66282918585817
ENSMUSG00000015745.3	1.23508461369965	5.24687010217873	47.5331379292388	5.40819551410228e-12	1.72873598468223e-09	Plekho1	protein_coding	27.5113973051959	11.3347338125988	28.5980045107418	9.38964427975532	22.3453960130713	8.64148728079652
ENSMUSG00000020032.8	1.48780343624618	5.69895254039821	47.4038964570294	5.77677438461039e-12	1.80458554355613e-09	Nuak1	protein_coding	13.0020331503351	5.87227682136564	17.8527515214866	3.8082035255555	12.6017195046264	4.03766731785307
ENSMUSG00000026837.9	1.65525088520207	3.43407233876794	46.9644694520109	7.22853434895765e-12	2.20791565836495e-09	Col5a1	protein_coding	1.60681734808448	0.521614079699105	2.51456259492838	0.540863417518651	1.98059307842672	0.660794312239601
ENSMUSG00000000753.8	3.18308966973927	2.64835746784246	46.8507420983446	7.66040856562667e-12	2.28896338553345e-09	Serpinf1	protein_coding	1.97677981048796	0.504554604022623	5.77026454810664	0.421483203439141	7.00385091871575	0.532965761454868
ENSMUSG00000040249.9	1.76966580646887	4.85691562095435	46.4845852758306	9.23420270509348e-12	2.63374430917554e-09	Lrp1	protein_coding	1.91726850747584	0.680499614425243	3.47275177901884	0.539376088807478	2.66448316321456	0.888074720218772
ENSMUSG00000026605.7	-2.05941067372626	3.61229762666646	46.4725658915641	9.29101889572682e-12	2.63374430917554e-09	Cenpf	protein_coding	0.395210611082574	1.33361125531317	0.353499896194243	1.27421699797312	0.569510185827912	2.2868933053488
ENSMUSG00000056271.7	2.67155100018244	1.08918791234857	46.4519846135314	9.38912121859595e-12	2.63374430917554e-09	Lman1l	protein_coding	2.8262716623098	0.333718919069284	1.72759966015197	0.315944347075592	2.11262407958138	0.249694884254174
ENSMUSG00000053963.5	-2.55412680320474	1.09052098006727	46.0235183666027	1.16841884989359e-11	3.21198341835748e-09	6330403A02Rik	protein_coding	0.12318312017116	0.43980889226464	0.0740425159380215	0.538252158190762	0.09247059722534	0.438764577704095
ENSMUSG00000039115.7	1.25483004951398	6.01087240256637	45.9305388174148	1.22521030705665e-11	3.30206189617523e-09	Itga9	protein_coding	12.3502569594432	4.7627384628158	15.1905260915714	4.940141947086	10.3818377872828	4.24267220052403
ENSMUSG00000030352.8	1.26409631077183	5.80768655028787	45.7927853774082	1.31446764740849e-11	3.47449188723648e-09	Tspan9	protein_coding	17.6891900496333	7.18464719914019	21.3773675058878	6.56404850459869	14.4799341683891	5.85500455877395
ENSMUSG00000016256.9	1.60750906669551	3.00214194286729	45.3358718527695	1.65981026491248e-11	4.30454567758906e-09	Ctsz	protein_coding	8.93030408198333	2.08998740465202	9.72913499668394	2.99101320907451	7.8036001437905	2.3274695273755
ENSMUSG00000057329.6	1.99036857221377	2.94749799692876	44.844317064998	2.13339141792417e-11	5.41534390044811e-09	Bcl2	protein_coding	1.49291293288755	0.320164054085526	2.33267741627172	0.321481833197657	1.5263179541876	0.571055337828762
ENSMUSG00000028613.8	4.10577619235958	0.960239243143513	44.8137779736377	2.16692553310037e-11	5.41534390044811e-09	Lrp8	protein_coding	0.450479143887702	0	0.43598972039806	0.0125895840874736	0.171947709197091	0.0530651218904327
ENSMUSG00000022309.8	-1.57348133757289	4.62633905996589	44.5921718879647	2.42659942128877e-11	5.95600161528824e-09	Angpt1	protein_coding	3.24372741569803	6.12567124414508	2.51273253032176	8.53585362086191	3.52153051591338	9.66639233258998
ENSMUSG00000032332.10	3.92977948987144	2.30610729348972	44.2866549798864	2.83643245422872e-11	6.83978317252172e-09	Col12a1	protein_coding	0.258843791849961	0.0460013547589238	0.43923656076824	0.0348409806298899	1.16981221363905	0.0275352754566007
ENSMUSG00000020900.9	1.23936987062921	4.29785899666347	44.0916589000439	3.13353380617913e-11	7.42593485619519e-09	Myh10	protein_coding	2.50004235871769	1.03830430111885	3.21350350410263	1.06544736021112	2.69237353580444	1.02915604361696
ENSMUSG00000041688.10	1.2449684202803	4.70284284405049	43.927582918001	3.40752778054877e-11	7.93838463451574e-09	Amot	protein_coding	4.16319001246848	1.74617588912147	5.55769350746022	1.76338227857546	4.15738456643196	1.62589433136036
ENSMUSG00000027868.5	3.66369722131185	1.12126066765361	43.8176348819536	3.60442614103814e-11	8.25713955142819e-09	Tbx15	protein_coding	1.60744577338684	0.074655878068483	1.15943803790772	0.035339774438747	0.563113026774702	0.148957219328509
ENSMUSG00000019997.4	1.50899182426049	6.68607655488923	43.2596184436974	4.79375415053821e-11	1.0801664065434e-08	Ctgf	protein_coding	48.0368681095392	21.2945156278679	76.7516301327299	15.6979605013798	70.1975139468811	23.8749556879493
ENSMUSG00000031712.7	-1.30444865371581	4.23727224306268	42.9635889989795	5.57681855615907e-11	1.23634469442591e-08	Il15	protein_coding	6.91334790346697	13.5456509250222	4.94093502803463	13.5887663677212	6.32888234904379	12.2683419796884
ENSMUSG00000035439.7	1.19688809836724	4.35067064306	42.5999747757101	6.71602513859905e-11	1.46526611952451e-08	Haus8	protein_coding	5.68838408868168	2.47678247512055	6.35377867161348	2.13169438883323	5.09504474145035	1.96879311066192
ENSMUSG00000086806.1	3.76429372744373	0.188484222862654	42.1693249399078	8.37027045220032e-11	1.77841014096218e-08	Gm13054	processed_transcript	3.23511742504835	0.256109868122939	1.66956659663265	0.161645945015419	2.75968707080398	0
ENSMUSG00000030862.5	1.32325445491723	6.10420122483315	42.160044190062	8.41008797108343e-11	1.77841014096218e-08	Cpxm2	protein_coding	26.8302943635343	10.2513998340246	25.811266678825	7.14507143792232	18.2297777761287	7.60755092949335
ENSMUSG00000032334.8	1.71568156920801	2.5252116779975	42.0805897839687	8.7588278221345e-11	1.82409224871574e-08	Loxl1	protein_coding	2.57280760332507	0.753798002725095	3.34824361900496	0.812767069976208	2.32393101866532	0.605784326414311
ENSMUSG00000020681.8	2.08179544554991	3.94232018663867	41.9864912220879	9.19061500667194e-11	1.88544780995083e-08	Ace	protein_coding	2.72458494633534	1.00737197082792	5.85540936378886	0.890972665574822	6.22724978376554	1.24300157001331
ENSMUSG00000027656.7	3.10376705439845	1.55153049922453	41.704324185316	1.06173902460111e-10	2.14611807252091e-08	Wisp2	protein_coding	2.0461885151351	0.109093723804192	2.04986074842038	0.309849487408336	4.19271956973606	0.43533873459122
ENSMUSG00000042436.6	3.3073144983703	0.92016241011855	41.2526683448783	1.33769111849034e-10	2.66471948168837e-08	Mfap4	protein_coding	1.04506347514729	0.145610133790147	1.633224870088	0.137854631605008	2.5888630172563	0.181580482982333
ENSMUSG00000030116.8	3.34108234016443	2.8037989041664	40.9631303480409	1.55128281513818e-10	3.04605461343919e-08	Mfap5	protein_coding	1.61172271127466	0.214426996908967	3.38620692346662	0.221461269554384	5.92337751994422	0.56396522953775
ENSMUSG00000040247.5	-2.08857079759956	1.52679992915305	40.8499393094876	1.64378361469013e-10	3.18222616674871e-08	Tbc1d10c	protein_coding	0.733122789339021	2.7930822574277	0.734438502866538	2.03990154524893	0.429951246538301	2.38838584938776
ENSMUSG00000064080.6	1.63856183323067	4.76059955730724	40.6033251661438	1.86489040506369e-10	3.56012758577784e-08	Fbln2	protein_coding	5.03320843964925	1.70318602018847	8.54988757128033	2.42434413180358	8.57306339374828	2.11501572951361
ENSMUSG00000031740.7	2.29759377454293	3.53242135415909	40.5483326799271	1.91812142656371e-10	3.61158616549564e-08	Mmp2	protein_coding	3.54795076843921	0.922277739973293	6.92296300177262	1.22241740104884	9.34163956643985	1.42613611467354
ENSMUSG00000028369.9	2.86919865459775	3.2819976748065	40.4764878637612	1.98996334050816e-10	3.69622244801144e-08	Svep1	protein_coding	0.518341078560669	0.147567307959324	1.343115266451	0.0698537812793764	1.44511777657266	0.194845914657582
ENSMUSG00000029163.6	2.01948738064469	2.41345590858682	40.3206528898626	2.15518592066931e-10	3.94973739727996e-08	Emilin1	protein_coding	1.50997584033687	0.622112138609595	2.06571064618842	0.334646100439888	1.7825240043995	0.239790776067324
ENSMUSG00000031659.5	2.35857038251961	2.23855612093659	39.6567762827742	3.02752424044392e-10	5.4754369322239e-08	Adcy7	protein_coding	0.788348501919012	0.18823675495367	1.38845488200674	0.178210869210919	1.67038687177096	0.320347291837763
ENSMUSG00000001493.9	2.41923724109592	2.79381190638619	39.5627275071693	3.17689167531213e-10	5.67095793209938e-08	Meox1	protein_coding	2.87977221520137	0.720982851220695	5.73381915670513	0.830969132173647	7.63376988954889	1.12581531633163
ENSMUSG00000027188.8	3.31309864357126	1.00742702031324	39.3093848334897	3.61698672537256e-10	6.37377981285203e-08	Pamr1	protein_coding	0.37172594274624	0.0115609570836201	0.531990097385508	0.0547259808874513	0.896932605408991	0.0922680471789557
ENSMUSG00000026824.5	-1.11345695430062	5.2592260893353	38.6748707416982	5.00612858764423e-10	8.66762164621371e-08	Kcnj3	protein_coding	5.22583880445172	9.44954162048533	5.29680825460185	8.04654654042165	4.2834728333878	10.8425048082921
ENSMUSG00000031253.9	3.35491949348387	0.94484845998853	38.6598454698807	5.04481434483155e-10	8.66762164621371e-08	Srpx2	protein_coding	0.633042710966194	0.0239681285517114	1.3510766032544	0.158840749062403	1.57542410707512	0.0717336505967319
ENSMUSG00000024501.13	1.27616160946228	4.48056635639023	38.1738897852015	6.4712575651984e-10	1.09811648436607e-07	Dpysl3	protein_coding	4.98742365647944	1.54075893449596	6.01106230399603	1.89207523106211	5.04084284263823	2.41703475493935
ENSMUSG00000031503.7	1.17213574948869	7.1563245595763	38.1388564284282	6.58849410293115e-10	1.10437623713157e-07	Col4a2	protein_coding	28.6196811441875	13.3316924564546	40.0149111090977	12.8326487024876	27.5070650338187	11.3728020877588
ENSMUSG00000023959.7	1.08848563497447	8.26284410295816	37.6876578817217	8.30282271794251e-10	1.36949160746341e-07	Clic5	protein_coding	72.77663332981	31.2089408111302	87.213980930166	27.386645053295	66.4552759623165	35.3687019653239
ENSMUSG00000091017.1	-2.28073004776563	3.4385105493489	37.6720803764921	8.36939214455629e-10	1.36949160746341e-07	Fam71a	protein_coding	2.29556405869164	6.62177244340431	0.826448879569141	9.84719154653829	2.05306052467022	5.4531066676199
ENSMUSG00000000184.9	1.03384806064451	6.04656812905992	37.5470938176534	8.92322740105769e-10	1.44293836032398e-07	Ccnd2	protein_coding	15.762815689652	7.13880778297665	18.2985236943788	6.28327664115677	15.6222060792759	8.06247947893746
ENSMUSG00000049871.6	2.93643915103135	1.60548617129762	37.4880557403863	9.19745027881145e-10	1.46998783816585e-07	Nlrc3	protein_coding	1.87719526723331	0.119196967431241	1.62590447616407	0.161211837252927	0.587152171053868	0.186864758756623
ENSMUSG00000021091.8	3.20477549779336	2.47076900320402	37.3455138970951	9.89482249028246e-10	1.56326821987279e-07	Serpina3n	protein_coding	2.37285747880164	0.237120339290122	4.09175700631752	0.673472432887214	8.43172190078716	0.473114606655473
ENSMUSG00000058672.6	1.39130750143937	3.8763960494892	37.0361449342135	1.15959622124115e-09	1.81121023419996e-07	Tubb2a	protein_coding	15.9680407541872	4.85582148696382	16.6568793112149	4.97332395956776	10.1792862465238	4.40390133410316
ENSMUSG00000072812.4	1.82820205066194	2.68696657391602	36.8833058337342	1.25415228826792e-09	1.93689024744299e-07	Ahnak2	protein_coding	0.792110275709263	0.202008859671142	0.895557376181883	0.13060937546527	0.530908998974958	0.23593661852104
ENSMUSG00000025537.6	-1.45004835709492	3.52183829573261	36.6725002924234	1.39736805217806e-09	2.13409154190971e-07	Phkg1	protein_coding	2.66067125944608	4.41739827179074	1.51955349044655	5.04314270740283	1.86663714113369	5.03338167381788
ENSMUSG00000037996.10	2.35031122409873	1.36199327179596	36.6270611657936	1.43032260745085e-09	2.16041585048483e-07	Slc24a2	protein_coding	0.304227214480276	0.0866109071916117	0.252023993925586	0.0482340164636952	0.400756017993232	0.0304959712544178
ENSMUSG00000031103.6	1.63444435745165	2.14984449303957	36.500171072779	1.52652853619462e-09	2.26110554468808e-07	Elf4	protein_coding	1.01780805626466	0.238626969011907	1.20264603980312	0.344254772440789	1.16320795047492	0.362758637100449
ENSMUSG00000020773.5	1.55519119808678	2.42988702308689	36.4958888599604	1.52988589054923e-09	2.26110554468808e-07	Trim47	protein_coding	2.52587281526761	0.997485481970565	3.4719523137895	0.823285856369328	3.11425339278443	0.969601159147612
ENSMUSG00000024486.5	1.0836875339126	5.25473766653976	36.2361535625428	1.74797531054231e-09	2.55594900461746e-07	Hbegf	protein_coding	21.2838678151653	10.9910121562671	22.3729143427088	8.75968049057153	25.8138586939373	9.37750042422761
ENSMUSG00000001131.5	2.27758087717578	0.752777289283211	36.1135624670534	1.86146773263845e-09	2.69324989317005e-07	Timp1	protein_coding	2.90589259810569	0.55354963559905	3.00207983272062	0.673799678967335	3.49362198831145	0.394453747612415
ENSMUSG00000046841.4	1.22597760981399	4.01690586304569	35.9107959718603	2.06561000269099e-09	2.95748015489455e-07	Ckap4	protein_coding	8.03379354850737	3.02529600912961	9.81555531148055	2.97604371930201	6.51975680823217	3.15958654847957
ENSMUSG00000047298.3	-1.36893113522968	2.88247966003559	35.7903189143047	2.19737082709996e-09	3.11369711530814e-07	Kcnv2	protein_coding	0.831367847820264	1.89872078297723	1.00571758951093	1.9657109318248	0.677076377431487	1.86695746725415
ENSMUSG00000037949.6	-1.04815824479069	4.584875768341	35.6684584405933	2.33920897730376e-09	3.28085993806532e-07	Ano10	protein_coding	6.6770127815105	11.5758670655765	5.83378173950907	12.0652976393694	6.43699372910217	10.7537671404663
ENSMUSG00000038670.8	1.22818667047349	5.12230774091554	35.5057488381282	2.54298934169299e-09	3.5306453031889e-07	Mybpc2	protein_coding	14.6153060091737	6.34419777674849	17.0146285973796	5.69308088127478	11.8059525822617	4.21295092469478
ENSMUSG00000036545.8	1.93397534645851	2.48256201332025	35.2028641229161	2.97086300838843e-09	4.0834512050299e-07	Adamts2	protein_coding	0.619280912901712	0.194741044482655	1.14600247597471	0.255279775278861	1.1702689319974	0.216695402844294
ENSMUSG00000034591.5	2.8336427822548	-0.0271500723297017	34.6549401071616	3.93638360776329e-09	5.35698937511944e-07	Slc41a2	protein_coding	0.240205929852785	0.0392205739937096	0.330875902837811	0.0371316036769253	0.309919496473794	0.0391274457800356
ENSMUSG00000026043.11	1.84845891621072	6.13991897466536	34.5906597733973	4.06853794885532e-09	5.4825543242173e-07	Col3a1	protein_coding	8.30408965552249	2.45783203897054	15.1088296193652	3.45872528484419	18.4488096282806	4.39524449820729
ENSMUSG00000037820.9	1.06953819757511	7.51064531138836	34.1700386208216	5.05005241270808e-09	6.73912334103617e-07	Tgm2	protein_coding	55.1101598233011	25.916099852833	66.6141637255502	25.7575107578423	50.1909025210139	20.3564922964622
ENSMUSG00000020241.7	1.72512355727	3.37909992613465	34.1009055184712	5.23269099220929e-09	6.91570554691506e-07	Col6a2	protein_coding	1.3321593025756	0.521191967373723	2.6304175667328	0.43772210071519	2.06525840183633	0.687681640166814
ENSMUSG00000001435.8	1.66831051198003	2.09093590367757	33.9158133234129	5.75490486193892e-09	7.47213632610322e-07	Col18a1	protein_coding	0.838015984760789	0.189938057564014	0.954522679427841	0.30285735892813	1.06641712936715	0.269271077702223
ENSMUSG00000013089.8	1.54512754739009	3.39271358269848	33.913269809287	5.76243325257869e-09	7.47213632610322e-07	Etv5	protein_coding	4.25154727190741	1.22842521872666	5.02465167518868	1.40528768661338	2.8311995097392	0.953173165463424
ENSMUSG00000022253.7	-0.968736012903487	5.04831459996572	33.8193972702294	6.04728964721293e-09	7.76822394401324e-07	1110020G09Rik	protein_coding	6.39801463861768	10.392678526992	6.51740095328863	11.8105231517755	6.2258975770919	10.7422974661776
ENSMUSG00000050296.8	-1.28853099755435	2.8525031557073	33.5658336009912	6.88922762836858e-09	8.76781793999316e-07	Abca12	protein_coding	0.610145208987079	1.11325725988917	0.514217961453805	1.17373133920235	0.472561650608772	1.11902760138868
ENSMUSG00000077167.1	-1.18192209129515	5.22706570847881	33.4096971523503	7.46508188749951e-09	9.41353674712668e-07	SNORA53	snoRNA	107.2274368701	153.15927631832	89.7348953635036	219.389175471764	100.61631326337	220.95721126257
ENSMUSG00000020325.9	1.81904300295492	1.77477532190231	33.2894761832521	7.94112228624435e-09	9.92279325676623e-07	Fstl3	protein_coding	2.52754597730212	0.714623504974183	2.53208208841764	0.460061584081795	1.66327696980505	0.570341320318278
ENSMUSG00000050359.6	4.11242723426969	-0.22396667294488	33.1323982685427	8.60921983528283e-09	1.06606960933299e-06	Sprr1a	protein_coding	2.70316118481597	0.261552202820551	1.90563840290652	0	1.03338782105481	0.173954102697075
ENSMUSG00000030772.5	2.53230753765645	1.95758041593084	33.0273792857563	9.08701562674296e-09	1.11518776597841e-06	Dkk3	protein_coding	1.36319465210852	0.437352145653952	1.50939283535523	0.295755607071359	3.16420495168116	0.186991570531344
ENSMUSG00000029019.8	1.16831545431645	9.28950320930507	32.8444958660955	9.98333403123586e-09	1.21434448017112e-06	Nppb	protein_coding	1221.68575760111	587.831291823257	1182.10945063534	344.251011302529	1150.99938189932	469.631359003774
ENSMUSG00000032911.5	1.10792991171387	3.4726168927078	32.5043110295352	1.18928422512461e-08	1.4339220766963e-06	Cspg4	protein_coding	1.92264642959087	0.832803033856481	2.14565203783662	0.804872153831129	1.86953925111679	0.787553400270339
ENSMUSG00000034684.6	1.71282292812782	2.31544606184889	32.3963445412412	1.25722750123715e-08	1.50266017430475e-06	Sema3f	protein_coding	1.59401870975912	0.502936646131239	2.6151793849187	0.647562887314438	2.55793088883692	0.66230001603732
